Categoría: Deportes

Semana,Dodgers: (México),Yankees: (México)
2023-03-19,3,2
2023-03-26,9,4
2023-04-02,13,7
2023-04-09,13,8
2023-04-16,13,7
2023-04-23,9,5
2023-04-30,11,6
2023-05-07,13,6
2023-05-14,14,7
2023-05-21,10,6
2023-05-28,10,8
2023-06-04,11,8
2023-06-11,10,7
2023-06-18,11,6
2023-06-25,13,7
2023-07-02,13,7
2023-07-09,7,4
2023-07-16,12,7
2023-07-23,13,6
2023-07-30,13,7
2023-08-06,18,6
2023-08-13,15,6
2023-08-20,14,5
2023-08-27,13,6
2023-09-03,13,7
2023-09-10,12,7
2023-09-17,12,5
2023-09-24,10,4
2023-10-01,5,2
2023-10-08,22,1
2023-10-15,2,1
2023-10-22,2,1
2023-10-29,2,1
2023-11-05,1,1
2023-11-12,1,1
2023-11-19,1,1
2023-11-26,1,1
2023-12-03,2,2
2023-12-10,4,2
2023-12-17,4,2
2023-12-24,3,2
2023-12-31,2,2
2024-01-07,2,2
2024-01-14,2,2
2024-01-21,1,1
2024-01-28,1,4
2024-02-04,2,5
2024-02-11,2,2
2024-02-18,3,2
2024-02-25,4,3
2024-03-03,3,3
2024-03-10,3,3
2024-03-17,9,5
2024-03-24,9,22
2024-03-31,19,12
2024-04-07,12,9
2024-04-14,15,7
2024-04-21,10,9
2024-04-28,11,7
2024-05-05,12,7
2024-05-12,14,6
2024-05-19,13,8
2024-05-26,10,9
2024-06-02,17,16
2024-06-09,20,17
2024-06-16,17,14
2024-06-23,12,10
2024-06-30,14,10
2024-07-07,13,10
2024-07-14,8,6
2024-07-21,16,10
2024-07-28,14,14
2024-08-04,15,12
2024-08-11,15,10
2024-08-18,14,11
2024-08-25,15,8
2024-09-01,14,8
2024-09-08,14,10
2024-09-15,20,10
2024-09-22,24,11
2024-09-29,13,6
2024-10-06,100,27
2024-10-13,92,59
2024-10-20,66,44
